

=== Predictions on test data ===

 inst#     actual  predicted error prediction
     1        1:? 1:diaporth       0.105 
     2        1:? 1:diaporth       0.105 
     3        1:? 2:charcoal       0.105 
     4        1:? 2:charcoal       0.105 
     5        1:? 2:charcoal       0.105 
     6        1:? 2:charcoal       0.105 
     7        1:? 2:charcoal       0.105 
     8        1:? 2:charcoal       0.105 
     9        1:? 2:charcoal       0.105 
    10        1:? 2:charcoal       0.105 

